ID;ID_etude;Couche_materiel;UA;Carre;Numero;Auteur;Support;Technotypo;Mp;Taxon;Anatomie;Traces_anthrop;Faune_brulee
K22-3;1;11;UA 4a;K22;3;AS;Lame;Grattoirs simples sur support retouché;Sénonien blond;;;;
K22-32;2;11;UA 4a;K22;32;AS;Lame;Grattoirs simples;Indéterminée;;;;
K22-34;3;11;UA 4a;K22;34;AS;Lame;Grattoirs simples;Sénonien blond;;;;
K23-268;4;11;UA 4a;K23;268;AS;Lame;Grattoirs simples sur support retouché;Chalosse ?;;;;
K25-157;6;11;UA 4a;K25;157;AS;Lame;Grattoirs simples;Chalosse ?;;;;
K25-508;7;11;UA 4a;K25;508;AS;Lame;Grattoirs simples;Sénonien gris/noir ?;;;;
K25-517;8;11;UA 4a;K25;517;AS;Lame;Grattoirs simples sur support retouché;Sénonien blond;;;;
J23-5;9;11;UA 4a;J23;5;AS;Lame;Grattoirs simples sur support retouché;Indéterminée;;;;
J23-19;10;11;UA 4a;J23;19;AS;Lame;Grattoirs simples sur support retouché;Sénonien;;;;
J25-61;11;11;UA 4a;J25;61;AS;Lame;Grattoirs simples sur support retouché;Indéterminée;;;;
J25-73;12;11;UA 4a;J25;73;AS;Lame;Grattoirs simples;Indéterminée;;;;
?-67;13;11;UA 4a;?;67;AS;Lame;Grattoirs simples;Grain de mil;;;;
K23-312;14;13c;UA 4c;K23;312;AS;Lame;Grattoirs doubles;Sénonien;;;;
J23-179;15;13c;UA 4c;J23;179;AS;Lame;Outils composites;Sénonien gris/noir;;;;
J24-62;16;11;UA 4a;J24;62;AS;Lame;Grattoirs simples;Sénonien blond ?;;;;
J23-121;17;11;UA 4a;J23;121;AS;Lame;Outils composites;Chalosse;;;;
K23-88;18;11;UA 4a;K23;88;AS;Lame;Outils composites;Aurillac;;;;
K23-251;19;11;UA 4a;K23;251;AS;Lame;Outils composites;Indéterminée;;;;
K23-371;20;11;UA 4a;K23;371;AS;Lame;Outils composites;Bergeracois ?;;;;
K24-94;22;11;UA 4a;K24;94;AS;Lame;Outils composites;Sénonien blond ?;;;;
K24-106;23;11;UA 4a;K24;106;AS;Lame;Outils composites;Grand Pressigny;;;;
K25-130;24;11;UA 4a;K25;130;AS;Lame;Outils composites;Aurillac ?;;;;
K25-510;25;11;UA 4a;K25;510;AS;Lame;Outils composites;Bergeracois;;;;
sondage-66;26;11;UA 4a;sondage;66;AS;Éclat laminaire;Grattoirs simples;Indéterminée;;;;
?-90;27;11;UA 4a;?;90;AS;Lame;Perçoirs/Becs;Aurillac ?;;;;
K25-82;28;11;UA 4a;K25;82;AS;Petite lame;Perçoirs/Becs;Sénonien blond;;;;
K25-271;29;11;UA 4a;K25;271;AS;Lame;Perçoirs/Becs;Sénonien blond;;;;
?-117;30;11;UA 4a;?;117;AS;Indéterminé;Fragments d'outils;Indéterminée;;;;
J26-502;31;11;UA 4a;J26;502;AS;Indéterminé;Fragments d'outils;Aurillac ?;;;;
?-94;32;11;UA 4a;?;94;AS;Indéterminé;Fragments d'outils;Sénonien;;;;
J23-18;33;11;UA 4a;J23;18;AS;Éclat;Outils composites;Sénonien;;;;
?-106;34;11;UA 4a;?;106;AS;Indéterminé;Burins dièdres;Sénonien blond ?;;;;
J20-19;35;11;UA 4a;J20;19;AS;Éclat laminaire;Burins dièdres;Sénonien gris/noir;;;;
J23-40;36;11;UA 4a;J23;40;AS;Éclat;Burins dièdres;Sénonien blond;;;;
J23-118;37;11;UA 4a;J23;118;AS;Éclat laminaire;Burins dièdres;Indéterminée;;;;
J24-48;38;11;UA 4a;J24;48;AS;Éclat laminaire;Burins dièdres;Sénonien blond ?;;;;
J24-78;39;11;UA 4a;J24;78;AS;Lame;Burins dièdres;Sénonien blond ?;;;;
J24-88;40;11;UA 4a;J24;88;AS;Lame;Burins dièdres;Grand Pressigny;;;;
J25-55;41;11;UA 4a;J25;55;AS;Lame;Burins dièdres;Aurillac;;;;
J25-62;42;11;UA 4a;J25;62;AS;Lame;Burins dièdres;Chalosse ?;;;;
J25-110;43;11;UA 4a;J25;110;AS;Lame;Burins dièdres;Sénonien gris/noir;;;;
J25-113;44;11;UA 4a;J25;113;AS;Éclat laminaire;Burins dièdres;Sénonien blond;;;;
K23-48;45;11;UA 4a;K23;48;AS;Lame;Burins dièdres;Sénonien gris/noir;;;;
K23-79;46;11;UA 4a;K23;79;AS;Lame;Burins dièdres;Berg/SN?;;;;
K23-80;47;11;UA 4a;K23;80;AS;Lame;Autres burins;Sénonien;;;;
K23-95;48;11;UA 4a;K23;95;AS;Lame;Autres burins;Sénonien blond ?;;;;
K23-256;49;11;UA 4a;K23;256;AS;Lame;Burins dièdres;Aurillac;;;;
K24-217;50;11;UA 4a;K24;217;AS;Lame;Autres burins;Sénonien blond ?;;;;
K24-100;51;11;UA 4a;K24;100;AS;Lame;Autres burins;Sénonien ?;;;;
K24-104;52;11;UA 4a;K24;104;AS;Lame;Burins dièdres;Bergeracois;;;;
K24-95;53;11;UA 4a;K24;95;AS;Lame;Burins dièdres;Tertiaire;;;;
K23-93;54;11;UA 4a;K23;93;AS;Éclat laminaire;Burins dièdres;Fumélois;;;;
K25-188;55;11;UA 4a;K25;188;AS;Éclat laminaire;Burins dièdres;Aurillac;;;;
K23-277;56;11;UA 4a;K23;277;AS;Lame;Burins dièdres;Turonien inférieur Cher;;;;
K24-113;57;11;UA 4a;K24;113;AS;Éclat;Burins dièdres;Aurillac;;;;
sondage-72;58;11;UA 4a;sondage;72;AS;Lame;Burins dièdres;Sénonien blond ?;;;;
K26-178;59;11;UA 4a;K26;178;AS;Lame;Burins dièdres;Aurillac;;;;
?-102;60;11;UA 4a;?;102;AS;Éclat lamellaire;Outils composites;Aurillac;;;;
K24-223;61;11;UA 4a;K24;223;AS;Lame;Burins dièdres;Aurillac ?;;;;
K25-143;62;11;UA 4a;K25;143;AS;Petite lame;Burins sur troncature;Aurillac ?;;;;
K25-509;63;11;UA 4a;K25;509;AS;Lame;Burins sur troncature;Sénonien;;;;
J24-47;64;11;UA 4a;J24;47;AS;Lame;Burins dièdres;Aurillac;;;;
J24-86;65;11;UA 4a;J24;86;AS;Lame;Burins dièdres;Indéterminée;;;;
J24-89;66;11;UA 4a;J24;89;AS;Éclat laminaire;Burins dièdres;Turonien inférieur Cher ?;;;;
J24-90;67;11;UA 4a;J24;90;AS;Lame;Burins dièdres;Aurillac;;;;
J24-91;68;11;UA 4a;J24;91;AS;Lame;Burins dièdres;Aurillac;;;;
J25-68;69;11;UA 4a;J25;68;AS;Lame;Burins dièdres;Aurillac;;;;
J25-78;70;11;UA 4a;J25;78;AS;Lame;Burins sur troncature;Indéterminée;;;;
K25-83;71;11;UA 4a;K25;83;AS;Lame;Burins dièdres;Aurillac;;;;
K25-519;72;11;UA 4a;K25;519;AS;Éclat;Burins dièdres;Chalosse;;;;
I26-507;73;11;UA 4a;I26;507;AS;Éclat laminaire;Burins dièdres;Aurillac;;;;
?-68;74;11;UA 4a;?;68;AS;Éclat laminaire;Burins dièdres;Aurillac;;;;
?-69;75;11;UA 4a;?;69;AS;Petite lame;Burins dièdres;Aurillac;;;;
?-75;76;11;UA 4a;?;75;AS;Lame;Autres burins;Chalosse ?;;;;
J25-106;77;11;UA 4a;J25;106;AS;Petite lame;Perçoirs/Becs;Brûlé;;;;
K22-35;78;11;UA 4a;K22;35;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;;
K23-58;79;11;UA 4a;K23;58;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;;
K23-107;81;11;UA 4a;K23;107;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;;
K23-257;82;11;UA 4a;K23;257;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;;
K24-113;83;11;UA 4a;K24;113;AS;Lame;Lames/É. laminaires retouchés/appointés;Turonien inférieur Cher;;;;
K24-116;84;11;UA 4a;K24;116;AS;Lame;Lames/É. laminaires retouchés/appointés;Bergeracois;;;;
K24-117;85;11;UA 4a;K24;117;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;;
K24-120;86;11;UA 4a;K24;120;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;;
K24-224;87;11;UA 4a;K24;224;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;;
K25-273;88;11;UA 4a;K25;273;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;;
K25-511;89;11;UA 4a;K25;511;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac ?;;;;
K25-515;90;11;UA 4a;K25;515;AS;Lame;Pièces tronquées;Aurillac ?;;;;
K25-516;91;11;UA 4a;K25;516;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;;
J24-60;92;lim 10/11;UA 4a;J24;60;AS;Lame;Lames/É. laminaires retouchés/appointés;Indéterminée;;;;
J24-87;93;11;UA 4a;J24;87;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;;
J25-71;94;11;UA 4a;J25;71;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien ?;;;;
J25-77;95;11;UA 4a;J25;77;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;;
